0.0125438 -0.277891 -0.960531  0.698335	-0.064989 -0.881692 -0.467328  0.509808
  0.03343   0.90911 -0.415213  0.545408	0.0254626  0.373649 -0.927221  0.457869
0.0100972  0.966307 -0.257195  0.507677	0.0129478   0.51135 -0.859275  0.433138
0.00691694  0.971618 -0.236453  0.563608	-0.00499269  0.495279 -0.868719   0.49222
0.0629892  0.896953 -0.437617   0.59055	-0.0165973  0.260012 -0.965463  0.567279
0.0319808  0.490819 -0.870674   1.05447	  0.10929 -0.212617 -0.971004  0.985996
0.0192649 0.757346 -0.65273 0.949557	0.0259322 0.0694244  -0.99725  0.909224
0.00274011 0.0678446 -0.997692   1.91516	-0.0505457 -0.656795 -0.752374   1.94993
0.0144679  -0.19031 -0.981617   1.67644	-0.0371765 -0.853202 -0.520254   1.69232
0.00129675 0.0378508 -0.999283   1.97946	-0.086459 -0.677439  -0.73048   2.04712
0.0185018 -0.335629 -0.941813   1.18806	-0.0262565 -0.918652 -0.394195   1.26349
0.0257584 -0.308388 -0.950912  0.752479	0.0362487 -0.889109 -0.456259  0.817695
  0.999899 0.00400726  0.0136627   0.441702	  0.999446  0.0213493 -0.0255326   0.447813
  0.999931 0.00991054 0.00632424   0.416243	  0.999747 0.00446603 -0.0220244   0.442033
-0.0315023  0.963803 -0.264748  0.966051	-0.0886766  0.447564 -0.889844  0.939219
-0.0144769   0.83241 -0.553971   1.04786	-0.0183433  0.169625 -0.985338  0.992554
 -0.999442 0.00459201 -0.0330842   0.517164	  -0.999565  -0.0283892 -0.00794411    0.553874
 -0.999574 0.00421512 -0.0288677   0.513928	  -0.999545   -0.030133 -0.00155417    0.547711
  0.999542 -0.0188656  0.0236587     1.1144	   0.999961 -0.00878201 -0.00103025     1.12826
0.0123667  -0.13713 -0.990476  0.809838	0.0089889 -0.791142 -0.611567  0.828066
 0.999405 0.0217693 0.0267552   1.14629	   0.999952 -0.00470451 -0.00854051     1.13896
 0.999567 0.0118572  0.026935   1.13094	   0.999849  -0.0145168 -0.00953577     1.13592
   0.99236   0.109129 -0.0575613   0.784024	 0.986824 0.0826046 -0.139123  0.739982
  0.988678   0.145215 -0.0377898    1.13273	 0.985978  0.066279 -0.153148   1.11546
-0.136424  0.715481 -0.685183   1.24003	-0.142266 0.0410562 -0.988977   1.18263
-0.126416  0.649739 -0.749572  0.964969	 -0.137714 -0.0273938  -0.990093   0.919693
-0.133726  0.699956 -0.701555  0.792326	-0.139402 0.0530065 -0.988816   0.73904
-0.145587   0.90469 -0.400426  0.524094	-0.152364  0.372508 -0.915436  0.461857
  0.989538   0.134804 -0.0514014   0.406099	 0.983542  0.072895 -0.165324  0.428869
   0.990465    0.137522 -0.00816433       1.075	 0.986839 0.0552787 -0.151966   1.13368
-0.00494073 -0.198392  -0.98011   0.73183	-0.000301346 -0.876155 -0.482029  0.749752
