   0.999199   0.0399443 -0.00230273     1.11765	  0.999208 -0.0295397  0.0266499    1.11911
   0.999593   0.0275387 -0.00744059     1.12257	  0.997914 -0.0496909  0.0412106    1.09761
-0.0311591   0.999247 -0.0231037   0.610417	0.0152653  0.668253 -0.743778  0.596457
0.0434424  0.334248 -0.941483  0.999405	0.0293363 -0.358382 -0.933114   1.02923
0.00863054 0.0884765 -0.996041   1.30808	0.0113955 -0.607066  -0.79457   1.35934
 0.034662 -0.324279 -0.945326  0.999015	0.0205107 -0.913311 -0.406747  0.951836
  0.999521  0.0292485 -0.0100904    1.12954	 0.999105 -0.037004 0.0204827   1.13711
   0.999648   0.0251338 -0.00843701     1.12667	  0.999257 -0.0336074  0.0188891    1.14188
  0.999901 0.00719003 -0.0121298    1.12824	  0.999393 -0.0318545  0.0140677    1.14957
   0.99999 0.00340823 0.00295935    1.08214	  0.999391 -0.0322521  0.0133496    1.14525
0.0198611 -0.230678 -0.972827  0.739197	  0.01131 -0.832018 -0.554633  0.805631
  0.999757  0.0169529 -0.0140778   0.706762	   0.999834 -0.00866967  -0.0160568    0.739523
 0.999873 0.0111161 -0.011381  0.702579	 0.999707 -0.012511 0.0207405   0.68191
-0.0369758  0.838383 -0.543827   1.14259	0.00116244  0.261091 -0.965314   1.10324
-0.029412 0.754153 -0.65604  1.12221	0.0214249 0.0899954 -0.995712   1.08958
0.00288593 0.131893 -0.99126  1.14323	   0.0136 -0.505485 -0.862728   1.22702
     0.9995   0.0315319 -0.00248743     1.10777	  0.998065 -0.0484658   0.038963    1.09519
 0.999695 0.0164399 0.0184454   1.05966	  0.998896 -0.0312952   0.035028     1.1055
   0.999941  -0.0102815 -0.00338351     1.11466	  0.999248 -0.0238511  0.0305623    1.12244
0.0402296   0.70573 -0.707338   1.10398	 0.0468972 -0.0797468  -0.995711    1.09879
-0.00447375 -0.0777459  -0.996963    1.34457	-0.00357853 -0.723814 -0.689986   1.32612
   0.999903   0.0138876 -0.00121021     1.09653	   0.99949 -0.0205913  0.0244074    1.12799
  -0.211346      0.9774 -0.00471428     0.70759	-0.0861752  0.736115 -0.671349  0.611254
-0.194141 0.975629 0.102257 0.331362	-0.140939  0.750698 -0.645437  0.312542
 0.986104  0.160861 0.0415131   1.12471	  0.994396   0.101128 -0.0308011    1.11524
 0.986132  0.158793 0.0482605   1.12115	  0.993769   0.108319 -0.0262625    1.10972
 0.987303  0.154888 0.0352456   1.11541	  0.995973  0.0855776 -0.0267253    1.09644
 0.987687  0.153333 0.0310395   1.13307	  0.995902  0.0883102 -0.0194964    1.08709
  0.98539  0.166162 0.0373603   1.13206	  0.992646   0.113014 -0.0433864    1.13172
 0.989202  0.141415 0.0384967   1.13223	  0.996855   0.078398 -0.0115958    1.10762
 0.989985  0.134937 0.0414915   1.09804	  0.997858  0.0619788 -0.0209101    1.11758
 -0.227184   0.973447 -0.0280889   0.840622	-0.135807  0.689311 -0.711623   0.77188
-0.145734  0.906969 -0.395183  0.908794	-0.0957609  0.394789 -0.913768  0.864198
-0.0518322  0.531123 -0.845708   1.10563	-0.0256448 -0.101642 -0.994491   1.09024
 0.987325  0.149633 0.0529137   1.08539	  0.995431  0.0922198 -0.0247704    1.10709
 0.153022  0.148959 -0.976932   1.15551	 0.127532 -0.539204 -0.832463   1.21001
0.986692 0.153917 0.052418 0.435339	  0.989668   0.134978 -0.0483472    0.43037
 0.987799  0.149279 0.0443732  0.419919	  0.990404   0.130437 -0.0456807   0.435555
