   0.999684 -0.00606265  -0.0243918      1.1846	  0.999334 -0.0268457  -0.024711    1.17015
   0.999716 0.000342685  -0.0238325     1.17359	  0.999495 -0.0221501  -0.022802    1.17133
  0.999893 0.00580551  -0.013402    1.15103	  0.999586 -0.0173136 -0.0229587    1.16485
0.0175691 -0.151449 -0.988309  0.473913	 0.012442 -0.830642 -0.556668  0.511139
-0.000425374  0.154783 -0.987948  0.676926	0.0193176 -0.645657 -0.763383  0.632063
-0.00730462  0.307086 -0.951654  0.988151	0.0121355  -0.33265 -0.942972  0.977642
   0.999558   0.0292261 -0.00544887    0.295617	  0.998775  0.0133312 -0.0476585   0.375876
0.0314246  -0.44822 -0.893371  0.883018	-0.0262069 -0.953479 -0.300319  0.913033
  0.999732  0.0132553 -0.0189843   0.300113	  0.997941  -0.055673 -0.0318503   0.313988
0.0421699 -0.38188 -0.92325 0.877331	-0.0284456 -0.928291 -0.370764  0.913984
 0.041746 -0.324216 -0.945062    1.0463	-0.0196063 -0.904095 -0.426881   1.08896
-0.0301322  0.974751 -0.221251  0.855659	-0.0117755  0.493483 -0.869676  0.823541
-0.00273364  0.351798 -0.936072   1.19908	-0.0130978 -0.370206 -0.928857   1.18521
-0.00660367  0.118381 -0.992946   1.15352	-0.0230768 -0.595689 -0.802883   1.16642
-0.00815419 -0.123551 -0.992305   1.21205	-0.0307487 -0.794399 -0.606618   1.23297
-0.00911391 -0.406954 -0.913403   1.25999	-0.0382184 -0.941503 -0.334832   1.27781
  0.999764  0.0118564 -0.0182109     1.1592	  0.999555 -0.0130158 -0.0268238    1.16775
   0.999983  0.00102606 -0.00566277    0.436081	   0.999903 -0.00631915  -0.0124176    0.440588
  0.999432  0.0274794 -0.0195007   0.689469	  0.999115  0.0269112 -0.0323354   0.681621
-0.119663  0.648545 -0.751711   2.89481	-0.0872733 -0.0520631  -0.994823     2.7362
-0.018716  0.813143 -0.581763  0.558436	0.00149747 0.0997363 -0.995013  0.534237
-0.0427636  0.841766 -0.538146   1.12656	-0.00694981  0.201659 -0.979431   1.07175
-0.0656745  0.790977 -0.608311   1.59735	-0.0448381  0.112197 -0.992674   1.54378
-0.0747811  0.534602 -0.841789   2.07111	-0.0607781 -0.11743 -0.99122  1.98659
-0.0881676  0.586318 -0.805269   1.89489	  -0.10474 -0.0957572  -0.989879    1.81085
-0.0882861  0.731627 -0.675965   1.28115	-0.0763169 0.0677213 -0.994781   1.21302
  0.983001 -0.0227725  -0.182182    0.43686	 0.982244 -0.151843 -0.110181  0.449948
-0.114211  0.633914 -0.764924   1.54933	 -0.101077 -0.0202131  -0.994673    1.45147
-0.152062 -0.590209 -0.792799  0.877112	 -0.180675  -0.982453 -0.0462911   0.812476
-0.156248 -0.409108 -0.899009   0.41742	-0.161919 -0.944942  -0.28437  0.442786
   0.992923 -0.00948327   -0.118384     1.12014	  0.987249  -0.139214 -0.0771935    1.15733
  0.988383 -0.0430014  -0.145773    1.15042	  0.985392  -0.160358 -0.0573413     1.1333
  0.989993 -0.0440425  -0.134067   0.419781	  0.987168   -0.14732 -0.0616134   0.432333
  0.990034 -0.0328196  -0.136952    1.12088	  0.985017  -0.154646 -0.0763254    1.16163
 0.990038 -0.053702 -0.130157   1.11598	  0.989948  -0.134278 -0.0444096   0.930885
-0.0103469  0.986299 -0.164641   1.23393	0.0193355  0.540695 -0.840997    1.1973
  0.989911 -0.0555931  -0.130331    1.10988	 0.990355 -0.131188 -0.044579  0.930295
  0.989105 -0.0307821  -0.143955    1.12024	  0.985618  -0.157149 -0.0621431    1.12034
 0.988321 -0.033576  -0.14864    1.1336	 0.987837 -0.136817 -0.073888   1.13652
  0.986759 -0.0519322  -0.153657   0.423928	   0.98612  -0.149206 -0.0728312    0.43865
  0.989108 -0.0382851  -0.142126    1.12819	  0.986294  -0.154471 -0.0579912    1.11614
