0.00738915 -0.130105 -0.991473  0.908996	-0.0428189 -0.861441 -0.506049  0.892387
0.00853314 -0.223582 -0.974648   1.23226	-0.0717182  -0.87308 -0.482273   1.25538
0.00610507 -0.198288 -0.980125   1.58011	-0.116743 -0.849302 -0.514836   1.64025
0.0233642  0.782948 -0.621648  0.642335	0.00326576  0.163028 -0.986616  0.683708
-0.014742 0.710324 -0.70372  1.33213	0.0315685 0.0870078 -0.995707   1.26387
 0.031853   0.56221 -0.826381   1.36242	0.0235879 -0.125074 -0.991867   1.36051
0.00326019  0.581294 -0.813687  0.775368	0.0597778 -0.109199 -0.992221  0.789204
0.0324385 0.0728555 -0.996815  0.967522	0.0255749 -0.638491 -0.769204   1.01225
0.0439994  0.044629 -0.998034   1.53625	-0.0316756 -0.614759 -0.788079   1.62389
-0.0204097  0.966962 -0.254101  0.941228	0.0173858  0.514969 -0.857033  0.921828
0.00388964   0.90906 -0.416648  0.850556	0.0214147  0.428862 -0.903116  0.757524
0.0106447  0.911061 -0.412134   0.72558	0.0304433  0.326931 -0.944558  0.705239
0.0147526  0.926133 -0.376908  0.676666	0.0208501 0.394754 -0.91855 0.671452
 0.016855  0.942741 -0.333101  0.686836	0.0126148  0.453551 -0.891141  0.646441
0.00170029  0.902898 -0.429851  0.503801	0.0179431  0.331776 -0.943187  0.468326
0.00569262  -0.11901 -0.992877  0.823355	-0.0364445 -0.814185  -0.57946  0.841807
 0.00306902 -0.00312857    -0.99999     1.15648	-0.0168152  -0.67252 -0.739888   1.02141
 0.999602 0.0130819 0.0249929  0.916391	  0.997528 -0.0614881  0.0340266    1.11248
    0.99999 -0.00445037 9.00147e-05      1.1398	  0.999218 -0.0394148 0.00325027    1.17693
-0.00461659  0.679892 -0.733298   0.98831	-0.00800331 0.0637709 -0.997932  0.923691
 0.002667  0.215041 -0.976601   1.25727	-0.0277388 -0.483285 -0.875023   1.28644
-0.00879358 0.0945047 -0.995485   1.26294	-0.0335339  -0.60085 -0.798658   1.30369
  0.999576  0.0264361 -0.0121705   0.718648	  0.999714 -0.0176674 -0.0160925    0.73169
-0.028494   0.99237 -0.119959   1.13124	-0.0139267  0.596442 -0.802535    1.1838
-0.0439578   0.88226 -0.468705   1.19652	0.0183276  0.265079 -0.964052   1.14146
-0.0524862   0.86249 -0.503345   1.24457	-0.0564624  0.214829 -0.975018   1.23488
  0.999935 -0.0108904 0.00344464   0.667971	  0.999601 -0.0160047 -0.0232747   0.731082
-0.114351  0.853033 -0.509175   2.20661	-0.0650467  0.231302 -0.970705   2.21973
0.0151536  0.957873 -0.286793  0.585243	0.00844616  0.502129 -0.864751  0.522931
0.00549406  0.860123 -0.510056  0.601018	-0.00268834   0.28176 -0.959481  0.647023
0.00765771  0.514298 -0.857577  0.962133	-0.00877103 -0.150009 -0.988646  0.947034
-0.051095  0.799003 -0.599152   1.10915	0.0146887  0.170098 -0.985318   1.23872
-0.048259  0.742364 -0.668257   1.42072	 0.036166  0.108882 -0.993397   1.32975
0.0583345  0.602668 -0.795857   1.37651	 0.0724607 -0.0773564  -0.994367    1.48439
 0.018123 -0.223538 -0.974527  0.956062	0.0218605 -0.911075 -0.411661  0.912602
0.181872 0.963118 -0.19831  1.46038	 0.140925  0.572016 -0.808046   1.36653
 0.990587 -0.121239 0.0635539  0.407488	  0.987638 -0.0665197   0.141938   0.414119
0.0895181  0.256768 -0.962318   1.20898	0.0818185 -0.382911 -0.920155    1.2185
-0.0199321  -0.37531 -0.926685   1.22181	-0.0261334 -0.922437 -0.385261    1.2317
-0.0253765  -0.37511 -0.926633   1.22077	-0.0230091 -0.921997 -0.386513   1.23475
0.0635157  0.230268 -0.971052    1.4151	0.0793773 -0.442302 -0.893347   1.44351
0.0899962  0.766097 -0.636393   1.57488	 0.123222  0.141886 -0.982184   1.53271
0.0962215  0.612775 -0.784378   1.49521	  0.115122 -0.0632494  -0.991336    1.47091
