0.0496147  0.445751 -0.893781   1.74021	0.0808669 -0.246982  -0.96564   1.66212
-0.0554192 0.891877 -0.44887   1.7666	0.0129737 0.301273 -0.95345  1.56958
 0.0144848   0.997832 -0.0642015   0.686458	0.0278307  0.654761 -0.755324  0.664602
 0.033414 -0.594841 -0.803149  0.720611	 0.0521561  -0.994132 -0.0947688   0.696044
0.0263289 -0.302833  -0.95268  0.886605	0.0188643 -0.833356 -0.552414  0.963618
0.0244157  0.356776 -0.933871   1.03826	 0.034662 -0.324279 -0.945326  0.999015
0.0369542 0.0551724 -0.997793  0.820696	0.0308441 -0.662599 -0.748339  0.834806
0.0387184 -0.346511 -0.937247  0.777808	0.00924999 -0.898873 -0.438112  0.818019
0.0411969  -0.34765 -0.936719  0.519221	0.0305741 -0.947111 -0.319446  0.507957
  0.999713  0.0235316 0.00450938    1.19716	   0.99999 0.00340823 0.00295935    1.08214
   0.999981 0.000935526  0.00606075     1.19117	   0.999563  -0.0282795 -0.00856902     1.14134
   0.999994  0.00115446 -0.00336721     1.19842	  0.999758 -0.0148449 -0.0162564    1.12788
  0.999525  0.0297556 0.00799625    1.19688	    0.999988  -0.00487603 -0.000738343      1.09903
0.0150923  -0.23236 -0.972513   1.50113	-0.0253619 -0.853203 -0.520962   1.47406
0.0147141 -0.242169 -0.970122    1.4611	-0.027117 -0.852472  -0.52207   1.44959
-0.00691977  0.784944 -0.619528    1.2254	0.00288593 0.131893 -0.99126  1.14323
0.00602046  0.368947 -0.929431   1.20213	-0.0238486 -0.327967 -0.944388   1.17098
0.00883055 0.102343 -0.99471  1.21297	-0.046039 -0.544441 -0.837535   1.23518
 -0.999223 -0.0120054 -0.0375321   0.508045	 -0.998587 -0.0414684 -0.0332401   0.546824
0.0249285  0.401322 -0.915598   1.14447	0.0921798 -0.363321 -0.927093   1.08591
0.0910913  0.243945 -0.965502  0.497172	0.0291235 -0.45358 -0.89074 0.521156
-0.0221632  0.854373 -0.519188   1.80007	-0.0490459  0.157185 -0.986351   1.82343
-0.0229151  0.655126 -0.755172   1.39491	-0.00447375 -0.0777459  -0.996963    1.34457
0.0449549  0.220027 -0.974458   1.25173	0.00954329 -0.424879   -0.9052   1.18524
0.0306509  0.162479 -0.986236  0.579692	  0.02358 -0.539826 -0.841446  0.613321
  0.999925 0.00167805  0.0121615    1.18145	    0.999992   0.00402908 -0.000530261      1.10787
0.0215566 -0.489824 -0.871555  0.787342	0.0143908 -0.980114 -0.197915  0.749522
0.0111648 -0.501176 -0.865273  0.733518	0.00674405 -0.970464 -0.241152  0.736495
0.0125965 -0.536955 -0.843517   1.01718	-0.024914 -0.985458 -0.168082  0.965324
-0.0384162   0.51867 -0.854111   1.73014	-0.0503388 -0.128412 -0.990442   1.61761
0.0402043 0.674816 -0.73689  2.27531	-0.00358894 -0.0307813   -0.99952     2.1364
0.0206042  0.738865 -0.673539   1.96493	-0.0103192 0.0283727 -0.999544   1.86231
0.0195512  0.720623 -0.693052   1.57788	0.0116952 0.0144104 -0.999828   1.49887
 -0.982142 -0.0870664  -0.166784     1.9757	 -0.982597  -0.170499 -0.0737047    1.79049
 -0.982052 -0.0863812  -0.167666    1.99284	 -0.982505  -0.162483 -0.0910153    1.84031
0.0373843  0.749303 -0.661171   1.34149	0.0349148 0.0936724 -0.994991    1.2431
 0.140666 -0.132339 -0.981172   1.34611	 0.142774   -0.7557 -0.639166   1.37458
-0.00646128 -0.136714 -0.990589   1.11633	  0.10824 -0.798692 -0.591925   1.10874
 0.127688   0.22932 -0.964939    1.6008	 0.189314 -0.419878 -0.887616   1.59667
