-0.0699151 -0.20472 -0.97632  1.04058	-0.0667672 -0.821228  -0.56668   0.86136
 0.986132 -0.149591 -0.071871  0.435667	   0.9871 -0.145177 0.0675081   0.43695
-0.132357 -0.296415 -0.945843   2.59729	-0.0823603 -0.876036 -0.475161   2.68808
-0.0734254 -0.474727 -0.877065   1.62348	-0.132919 -0.950841 -0.279703   1.45779
-0.0948387 -0.421948 -0.901646    1.2358	-0.134418 -0.936421 -0.324109   1.25974
  0.984988   -0.15588 -0.0741619    1.14817	 0.985999 -0.161089 0.0430922   1.01595
 0.114851  0.986552 -0.116292   1.57169	 0.115685  0.607426 -0.785908   1.49341
-0.0126264 -0.0658456   -0.99775    2.14578	-0.0163351   -0.7808 -0.624567   2.01991
  0.986851  -0.137163 -0.0855066    1.16384	 0.98703 -0.15463 0.043144  1.17894
   0.98717  -0.134248 -0.0864431    1.16135	 0.989225 -0.131533 0.0642802   1.11615
 0.986676 -0.143609 -0.076461  0.431831	 0.985986 -0.161576  0.041538  0.453034
-0.108155 -0.501977 -0.858092   2.07388	-0.183845 -0.962305 -0.200427   1.99202
