0.0833778 0.0594592 -0.994743   3.25018	 0.137359 -0.592902 -0.793474   3.13876
 0.156393 -0.516767  -0.84172   2.03467	 0.184632 -0.952404 -0.242564   1.92042
0.0545127  0.743629 -0.666367   1.34208	0.0422891 0.0936523 -0.994706   1.24134
 0.149848 -0.131184 -0.979968   1.34369	 0.151823  -0.76109 -0.630628    1.3586
  0.22969 -0.445254 -0.865443   1.20422	 0.163522 -0.932516 -0.321986   1.28807
-0.0111481 -0.144717  -0.98941   1.10968	 0.101414 -0.798382  -0.59355   1.10593
 -0.984108 -0.0870818   -0.15475    2.02429	 -0.985689  -0.157465 -0.0601866    1.82545
 0.111225  0.228383 -0.967197   1.59756	 0.169808 -0.428494 -0.887444   1.58511
