 0.989081  0.143661 0.0328595   1.15288	 0.994531 0.0995599 -0.031559   1.14713
 0.989599  0.139189 0.0363279   1.11714	  0.995799  0.0839009 -0.0366779    1.14546
-0.194621   0.89174 -0.408561  0.694303	-0.0945667  0.373902 -0.922635  0.699613
-0.139404 0.906881 -0.39766  0.91156	-0.0925417  0.394097 -0.914398  0.863527
-0.043197  0.531381 -0.846031   1.10474	-0.0205315 -0.107745 -0.993966   1.09009
 0.115459 -0.398854 -0.909717   1.43564	  0.24479 -0.902319 -0.354822   1.40187
 0.988193  0.147147 0.0426827     1.115	  0.993124   0.109917 -0.0402798    1.13752
 0.139271  0.146111 -0.979416   1.15156	 0.114295 -0.539297 -0.834323   1.20556
  0.980583   0.187454 -0.0576048   0.558401	  0.989185   0.137669 -0.0505907   0.431476
 0.987934  0.148368 0.0444119  0.419395	  0.990015   0.132974 -0.0467829   0.434999
-0.0562124  0.624318 -0.779145   2.44056	-0.0478752 0.00800185  -0.998821    2.43802
 0.986447  0.148527 0.0697232   1.06527	  0.992289   0.114215 -0.0481458    1.16336
0.0142537 0.0470762  -0.99879  0.992062	0.0773909 -0.734169 -0.674542  0.984056
