0.0178749 -0.226648 -0.973813  0.953748	-0.00678908 -0.909888 -0.414799  0.889792
-0.0233349 -0.476447 -0.878894   1.59427	-0.0472673 -0.963407 -0.263843   1.64544
 0.211069  0.927335 -0.309029   1.46484	 0.200372  0.359796 -0.911262   1.58197
 0.0397557 -0.0372299  -0.998516    1.77618	 0.107789  -0.78942 -0.604315   1.97559
 0.146639  0.971649 -0.185458   1.42328	 0.154091  0.573221 -0.804782   1.36434
 0.990416 -0.123632 0.0615661  0.409173	  0.988727 -0.0639931   0.135369   0.422174
0.0948414  0.250778 -0.963387    1.2081	0.0911366 -0.383971 -0.918836   1.22612
-0.00913465  -0.37647 -0.926384   1.21922	-0.0146584 -0.922784 -0.385038    1.2359
-0.0147381 -0.376715 -0.926212   1.21834	-0.0123505 -0.921565 -0.388028   1.24128
0.0739297  0.222888 -0.972037   1.41372	0.0904238 -0.433038 -0.896829   1.44678
0.0422872  0.237185 -0.970544   1.20851	0.0116498 -0.424142 -0.905521   1.20918
 0.990273  -0.12954 0.0507843  0.424285	  0.985979 -0.0713844   0.150827   0.405446
 0.124949  0.769752 -0.625995   1.53835	  0.13661  0.142704 -0.980292   1.52928
0.0584507  0.611329 -0.789215   1.26732	 0.128631 -0.058071 -0.989991   1.46639
