-0.0154024  0.842793 -0.538017   0.92864	-0.00645087  0.322929 -0.946401  0.766926
   0.991495 -0.00708459   -0.129952     1.14799	  0.986589  -0.139731 -0.0843639    1.17632
  0.987256 -0.0428665  -0.153259    1.16685	  0.985392  -0.152703 -0.0753893    1.17144
   0.98967 -0.0487668  -0.134815   0.418884	  0.987168  -0.148385 -0.0589945   0.428192
-0.0861461 -0.111594 -0.990013   1.66856	-0.0797068 -0.836895 -0.541529   1.58083
  0.987781 -0.0370582  -0.151382    1.14808	  0.985197  -0.142924 -0.0946551    1.19873
  0.988842 -0.0500741  -0.140301    1.13621	  0.989231  -0.134913 -0.0567457   0.954006
0.0184832  0.984572 -0.174003   1.25049	0.0327759  0.538517 -0.841977   1.20198
  0.989034 -0.0532115  -0.137768    1.12555	  0.989452  -0.134733 -0.0532098   0.947011
  0.986926 -0.0331279  -0.157735    1.14719	  0.984988   -0.15588 -0.0741619    1.14817
  0.986586 -0.0363262  -0.159151    1.15389	  0.986851  -0.137163 -0.0855066    1.16384
 0.986306 -0.057031  -0.15475  0.422984	  0.985447  -0.151859 -0.0763767   0.443314
-0.0876395 -0.0910252  -0.991985    2.43588	-0.131505 -0.836605 -0.531788   2.31729
   0.98768 -0.0415977  -0.150855    1.14552	  0.986593  -0.142508 -0.0795393    1.15861
