-0.145594  0.904059 -0.401845  0.524898	-0.152025  0.371589 -0.915866  0.461572
0.0138346 -0.285158 -0.958381   1.15287	0.0427385 -0.923494 -0.381226   1.14598
-0.126899 -0.136427 -0.982489   1.06661	 -0.10998 -0.847465 -0.519333  0.974227
-0.025529 -0.162761 -0.986335   1.76514	-0.0256772 -0.794833 -0.606285   1.83235
  0.991205   0.131424 -0.0155006    1.06757	 0.983498 0.0535903   -0.1728   1.15544
  0.989583   0.133977 -0.0526789   0.406302	 0.983308 0.0736874 -0.166359  0.427977
-0.0478752 0.00800185  -0.998821    2.43802	-0.0540848   -0.5935 -0.803015   2.63653
   0.99109    0.13172 -0.0197809    1.10161	 0.985289 0.0585716 -0.160545   1.15098
-0.00404315 -0.201748 -0.979429  0.730351	0.00174034 -0.876399 -0.481582   0.74858
  0.987971   0.143695 -0.0571399    1.17505	 0.984392 0.0513829 -0.168323   1.15981
