 0.984808 0.0625605 -0.161984   1.16389	  0.986415 -0.0496918  -0.156574    1.19083
 0.988952 0.0657891  -0.13284  0.382685	  0.987092 -0.0571276  -0.149622   0.424051
 0.981631 0.0675198 -0.178445   1.16001	  0.988842 -0.0500741  -0.140301    1.13621
-0.073353 -0.412152 -0.908157   1.77115	-0.101823 -0.921399 -0.375042   1.68212
 0.982612 0.0674887 -0.172974   1.14497	  0.989034 -0.0532115  -0.137768    1.12555
-0.0919875 -0.506806 -0.857138  0.902169	-0.0820324 -0.921329 -0.380031  0.760421
 0.984948 0.0670906 -0.159299  0.425737	  0.986496 -0.0476225  -0.156707   0.446363
 0.983063 0.0658299 -0.171034   1.15291	   0.98684 -0.0473443  -0.154614    1.15594
-0.197468  0.474792 -0.857659   2.17492	-0.152471 -0.230451 -0.961065   2.18675
-0.0847717 -0.490156 -0.867503  0.468786	-0.0806776 -0.959968  -0.26824  0.515756
